,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
0,07.09.2022,NaN,5032-73-4,NaN,1,שלישית,100,"1,361,857",NaN
1,01.05.2022,טוליפמן 1,3942-165-26,NaN,1,חמישית,47,"588,277",NaN
2,01.05.2022,טוליפמן 1,3942-165-27,NaN,1,שישית,47,"608,646",NaN
3,01.05.2022,טוליפמן 1,3942-165-28,NaN,1,שישית,89,"936,854",NaN
4,30.04.2022,טוליפמן 1,3942-165-25,NaN,1,חמישית,47,"540,931",NaN
5,13.04.2022,טוליפמן 1,3942-165-13,NaN,1,רביעית,47,"513,255",NaN
6,13.04.2022,טוליפמן 1,3942-165-24,NaN,1,רביעית,89,"949,438",NaN
7,13.04.2022,טוליפמן 1,3942-165-17,NaN,1,רביעית,54,"706,765",NaN
8,13.04.2022,טוליפמן 1,3942-165-20,NaN,1,רביעית,75,"824,875",NaN
9,13.04.2022,טוליפמן 1,3942-165-22,NaN,1,רביעית,81,"891,026",NaN
10,13.04.2022,טוליפמן 1,3942-165-15,NaN,1,רביעית,56,"618,935",NaN
11,13.04.2022,טוליפמן 1,3942-165-14,NaN,1,רביעית,49,"539,063",NaN
12,13.04.2022,טוליפמן 1,3942-165-16,NaN,1,רביעית,64,"677,847",NaN
13,13.04.2022,טוליפמן 1,3942-165-23,NaN,1,רביעית,72,"902,823",NaN
14,13.04.2022,טוליפמן 1,3942-165-19,NaN,1,רביעית,70,"768,290",NaN
15,13.04.2022,טוליפמן 1,3942-165-21,NaN,1,רביעית,75,"825,034",NaN
16,11.04.2022,טוליפמן 1,3942-165-7,NaN,1,שישית,64,"906,984",NaN
17,11.04.2022,טוליפמן 1,3942-165-9,NaN,1,שישית,72,"999,375",NaN
18,11.04.2022,טוליפמן 1,3942-165-4,NaN,1,שישית,57,"706,974",NaN
19,11.04.2022,טוליפמן 1,3942-165-10,NaN,1,שישית,75,"1,042,765",NaN
20,11.04.2022,טוליפמן 1,3942-165-5,NaN,1,שישית,54,"779,228",NaN
21,11.04.2022,פלוטיצקי 1,3942-1-3,NaN,1,ראשונה,92,"1,007,224",NaN
22,11.04.2022,טוליפמן 1,3942-165-6,NaN,1,שישית,56,"808,253",NaN
23,11.04.2022,טוליפמן 1,3942-165-12,NaN,1,שישית,81,"1,234,503",NaN
24,11.04.2022,טוליפמן 1,3942-165-11,NaN,1,שישית,72,"1,080,105",NaN
25,11.04.2022,טוליפמן 1,3942-165-8,NaN,1,שישית,70,"979,687",NaN
26,10.04.2022,טוליפמן 1,3942-165-3,NaN,1,שלישית,75,"952,089",NaN
27,19.03.2022,NaN,5032-73-6,NaN,1,חמישית,135,"2,251,787",NaN
28,19.02.2022,NaN,3942-188-1,NaN,1,ראשונה,88,"1,016,206",NaN
29,19.02.2022,NaN,3942-188-2,NaN,1,ראשונה,82,"1,092,941",NaN
30,17.02.2022,ברנשטיין 2,6287-275-3,דירה בבית קומות,1,ראשונה,NaN,"2,727,000",NaN
31,15.02.2022,NaN,3946-344-86,NaN,1,שניה,34,"601,380",NaN
32,05.01.2022,NaN,2710-31-1,דירה בבית קומות,1,ראשונה,NaN,"902,000",NaN
33,14.12.2021,NaN,3946-344-84,NaN,1,שלישית,25,"461,354",NaN
34,21.11.2021,ירושלים 22,3937-15-3,קוטג' דו משפחתי,1,ראשונה,NaN,"1,772,000",NaN
35,26.09.2021,התבור 34,3923-332-1,קוטג' חד משפחתי,1,ראשונה,472,"7,200,000",NaN
36,25.08.2021,NaN,3629-323-80,NaN,1,NaN,55,"275,822",NaN
37,23.08.2021,מרבד הקסמים 8,4246-144-2,קוטג' חד משפחתי,1,ראשונה,70,"3,100,000",NaN
38,18.07.2021,NaN,5032-73-5,NaN,1,חמישית,63,"902,672",NaN
39,04.07.2021,NaN,5032-73-2,עסק,1,NaN,103,"1,662,280",NaN
40,04.07.2021,NaN,5032-73-3,עסק,1,NaN,96,"1,526,724",NaN
41,04.07.2021,NaN,5032-73-1,עסק,1,NaN,65,"772,668",NaN
42,01.07.2021,NaN,3942-103-6,עסק,1,NaN,65,"4,971,751",NaN
43,29.06.2021,NaN,3946-344-82,עסק,1,NaN,122,"3,033,883",NaN
44,31.05.2021,NaN,3946-344-76,NaN,1,רביעית,40,"611,394",NaN
45,18.05.2021,NaN,3946-344-75,עסק,1,NaN,152,"3,249,908",NaN
46,13.05.2021,"אח""י מבטח 47",2709-4-2,קוטג' דו משפחתי,1,ראשונה,366,"14,285,000",NaN
47,10.05.2021,חיל התותחנים 26,2717-23-32,דירה בבית קומות,1,שביעית,121.40,"3,380,000",157% ב 16.7 שנים
48,11.08.2004,חיל התותחנים 26,2717-23-32,דירה בבית קומות,1,שביעית,121.40,"1,311,000",157% ב 16.7 שנים
49,21.04.2021,ברנשטיין 68,6287-21-2,קוטג' דו משפחתי,1,ראשונה,406,"5,300,000",NaN
50,01.04.2021,NaN,3947-95-37,עסק,1,NaN,118,"1,985,920",NaN
51,23.02.2021,ויצמן 4,3928-905-17,אחר,1,NaN,42,"172,836",NaN
52,22.02.2021,הגדוד העברי 6,3931-9-1,קומבינציה,1,ראשונה,NaN,"7,060,000",NaN
53,07.12.2020,NaN,3946-344-62,עסק,1,NaN,562,"12,870,000",NaN
54,02.12.2020, ,3947-95-57,חנות,1,ראשונה,119,"1,898,000",NaN
55,26.11.2020,NaN,4246-285-130,אחר,1,NaN,57,"268,599",NaN
56,10.11.2020,NaN,3628-70-1,קוטג' חד משפחתי,1,ראשונה,666,"12,000,000",NaN
57,04.11.2020,נחמה 21,3932-94-1,דירה בבית קומות,1,קרקע,27,"350,000",NaN
58,01.07.2020,"אח""י מזנק 28",2709-40-1,קוטג' דו משפחתי,1,NaN,337,"5,200,000",NaN
59,09.06.2020,"איתמר בן אב""י 15",3932-186-1,קוטג' דו משפחתי,1,שניה,199,"3,526,000",NaN
60,21.05.2020,NaN,3942-103-69,משרד,1,שניה,65,"724,643",NaN
